Model,Features,Accuracy,F1-Macro,P-Macro,R-Macro,P-Bearish,R-Bearish,P-Bullish,R-Bullish,P-Neutral,R-Neutral
Random Forest (200 trees),BoW Count (lem),0.8109,0.7127,0.8063,0.6694,0.816,0.431,0.788,0.618,0.815,0.96
"Random Forest (500 trees, depth=20)",TF-IDF Uni (stem),0.7905,0.7122,0.7283,0.6989,0.614,0.552,0.729,0.657,0.842,0.888
Naive Bayes - MultinomialNB,BoW Count (stem),0.78,0.7111,0.7138,0.7086,0.635,0.611,0.655,0.657,0.851,0.858
"LightGBM (500 trees, leaves=63)",TF-IDF Bi (stem),0.7873,0.7109,0.7133,0.7086,0.579,0.573,0.699,0.683,0.861,0.87
SVM - LinearSVC (C=1.0),BoW Binary (lem),0.7868,0.7108,0.7178,0.7045,0.599,0.569,0.703,0.67,0.852,0.874
Naive Bayes - MultinomialNB,BoW Binary (lem),0.7858,0.709,0.7149,0.7036,0.617,0.587,0.672,0.649,0.856,0.875
"LightGBM (500 trees, leaves=63)",TF-IDF Uni (stem),0.7826,0.7073,0.7121,0.7032,0.605,0.559,0.679,0.686,0.852,0.865
"Random Forest (500 trees, depth=20)",TF-IDF Bi (lem),0.7931,0.7071,0.7384,0.6851,0.627,0.549,0.756,0.595,0.832,0.912
SVM - LinearSVC (C=1.0),BoW Count (lem),0.7837,0.7071,0.7127,0.7019,0.591,0.573,0.695,0.662,0.852,0.871
"Random Forest (500 trees, depth=20)",TF-IDF Uni (lem),0.7884,0.707,0.7236,0.6934,0.615,0.549,0.714,0.642,0.842,0.89
Naive Bayes - MultinomialNB,BoW Binary (stem),0.7768,0.7066,0.7088,0.7046,0.628,0.604,0.648,0.655,0.85,0.855
"LightGBM (200 trees, leaves=31)",BoW Count (stem),0.769,0.706,0.693,0.7241,0.523,0.642,0.681,0.714,0.876,0.816
"LightGBM (200 trees, leaves=31)",BoW Binary (stem),0.7674,0.7038,0.6912,0.7215,0.521,0.642,0.678,0.706,0.874,0.816
Random Forest (200 trees),TF-IDF Bi (lem),0.8062,0.7035,0.8125,0.6563,0.819,0.41,0.815,0.595,0.803,0.964
Random Forest (200 trees),TF-IDF Uni (lem),0.8046,0.7025,0.8052,0.6576,0.807,0.406,0.804,0.608,0.804,0.959
"LightGBM (200 trees, leaves=31)",TF-IDF Uni (stem),0.7742,0.7015,0.6951,0.7087,0.561,0.59,0.656,0.694,0.868,0.842
"LightGBM (500 trees, leaves=63)",BoW Binary (lem),0.77,0.7002,0.6904,0.7128,0.515,0.601,0.684,0.709,0.872,0.828
"LightGBM (500 trees, leaves=63)",BoW Count (lem),0.769,0.6956,0.6866,0.7066,0.514,0.583,0.674,0.704,0.872,0.833
"LightGBM (500 trees, leaves=63)",TF-IDF Uni (lem),0.7721,0.692,0.6939,0.6901,0.555,0.545,0.676,0.668,0.851,0.858
"LightGBM (200 trees, leaves=31)",TF-IDF Uni (lem),0.7648,0.6891,0.6821,0.697,0.513,0.552,0.672,0.706,0.862,0.833
"KNN (k=15, distance)",TF-IDF Uni (stem),0.7983,0.6882,0.7872,0.647,0.786,0.382,0.771,0.603,0.805,0.956
"LightGBM (200 trees, leaves=31)",TF-IDF Bi (stem),0.7622,0.688,0.6799,0.698,0.521,0.594,0.653,0.67,0.865,0.83
"LightGBM (200 trees, leaves=31)",BoW Binary (lem),0.7569,0.6857,0.6741,0.7024,0.478,0.594,0.67,0.701,0.875,0.812
"LightGBM (200 trees, leaves=31)",BoW Count (lem),0.7559,0.6854,0.6725,0.704,0.476,0.59,0.664,0.714,0.877,0.807
"KNN (k=15, distance)",TF-IDF Uni (lem),0.7962,0.6829,0.7882,0.6405,0.794,0.375,0.769,0.587,0.802,0.96
"KNN (k=5, cosine)",TF-IDF Uni (stem),0.7706,0.6823,0.7017,0.6673,0.615,0.51,0.662,0.61,0.828,0.881
"KNN (k=5, cosine)",TF-IDF Uni (lem),0.7716,0.6804,0.7013,0.6649,0.616,0.497,0.657,0.613,0.83,0.885
"LightGBM (500 trees, leaves=63)",TF-IDF Bi (lem),0.7658,0.6804,0.6799,0.6809,0.53,0.517,0.654,0.673,0.856,0.853
"LightGBM (200 trees, leaves=31)",TF-IDF Bi (lem),0.758,0.6797,0.6709,0.6903,0.506,0.549,0.64,0.696,0.867,0.826
"KNN (k=5, cosine)",TF-IDF Bi (lem),0.7737,0.6783,0.7073,0.6579,0.619,0.486,0.68,0.59,0.823,0.898
"KNN (k=5, cosine)",BoW Binary (stem),0.7685,0.6761,0.6938,0.6633,0.593,0.476,0.657,0.636,0.831,0.878
Naive Bayes - ComplementNB,BoW Count (lem),0.7449,0.6758,0.6636,0.6918,0.532,0.583,0.599,0.694,0.861,0.799
Naive Bayes - ComplementNB,BoW Count (stem),0.7407,0.6757,0.6632,0.6932,0.556,0.604,0.575,0.686,0.858,0.79
"KNN (k=15, distance)",TF-IDF Bi (lem),0.792,0.6754,0.7928,0.6306,0.815,0.368,0.769,0.561,0.794,0.963
"Logistic Regression (L1, C=0.1)",BoW Binary (stem),0.7454,0.6736,0.6645,0.6873,0.468,0.583,0.669,0.673,0.856,0.806
"KNN (k=15, distance)",TF-IDF Bi (stem),0.7894,0.6713,0.7839,0.6275,0.797,0.368,0.761,0.553,0.794,0.961
Naive Bayes - ComplementNB,BoW Binary (lem),0.7402,0.6706,0.658,0.6885,0.529,0.573,0.582,0.701,0.863,0.791
"KNN (k=5, cosine)",TF-IDF Bi (stem),0.77,0.6706,0.6981,0.6519,0.606,0.458,0.665,0.603,0.824,0.895
